"study.name","dint","SD","id","YofPub","cont.type","time","treatments","cf.timely","ssci","setting","ed.level","Age","profic","motivation","Ss.aware","random.grp","equiv.grp","rel.inter","rel.intra","genre","sourced","timed","Location","Length","instruction","graded","acc.measure","cf.training","error.type","cf.scope","cf.type","error.key","cf.provider","cf.revision","cf.oral"
"Mubarak",0.528774788,0.449508312,24,2013,0,0,12,1,2,2,2,2,NA,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0
"Mubarak",-0.118904904,0.40676009,24,2013,0,40,12,1,2,2,2,2,NA,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0
"Mubarak",-0.088344593,0.395868834,24,2013,0,0,12,1,2,2,2,2,NA,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0
"Mubarak",0.539086991,0.439364562,24,2013,0,40,12,1,2,2,2,2,NA,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,0,88,2,1,0
"Mubarak",0.985088561,0.395400956,24,2013,0,0,12,1,2,2,2,2,NA,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0
"Mubarak",0.740817728,0.386346168,24,2013,0,40,12,1,2,2,2,2,NA,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0
"Mubarak",-0.492667996,0.420154007,24,2013,0,0,12,1,2,2,2,2,NA,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0
"Mubarak",-1.369547948,0.509713828,24,2013,0,40,12,1,2,2,2,2,NA,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0
"Mubarak",0.206464074,0.393835853,24,2013,0,0,12,1,2,2,2,2,NA,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0
"Mubarak",-0.158771197,0.384006829,24,2013,0,40,12,1,2,2,2,2,NA,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0
"Mubarak",-0.361055682,0.401400369,24,2013,0,0,12,1,2,2,2,2,NA,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0
"Mubarak",0.266135313,0.429945815,24,2013,0,40,12,1,2,2,2,2,NA,0,1,1,1,1,0,77,1,1,0,1,99,0,1,99,0,0,1,88,2,1,0
"Munoz",0.489898729,0.33826312,25,2011,1,2,4,2,2,2,2,2,99,99,99,1,0,0,0,5,0,1,0,2,1,1,1,1,0,2,2,2,1,1,0
"Munoz",-0.142803784,0.33634251,25,2011,1,2,4,2,2,2,2,2,99,99,99,1,0,0,0,5,0,1,0,2,1,1,1,1,0,2,1,88,1,1,0
"Nakazawa",0.620710702,0.450498631,26,2006,2,12,5,1,2,2,2,2,0,99,0,1,1,1,0,6,1,99,99,1,1,0,0,0,0,1,0,88,1,1,0
"Nakazawa",0.52700738,0.442547602,26,2006,2,12,5,1,2,2,2,2,0,99,0,1,1,1,0,6,1,99,99,1,1,0,0,0,0,1,2,2,1,1,0
