study.name,dint,SD,time,setting,cf.type,error.key,error.type,ed.level,profic,cf.oral,cf.training,cf.scope,Length,instruction,graded,genre,cf.revision,timed
Sheen_a,0.568675941,0.286502798,1,1,8,88,1,2,1,0,99,2,1,0,0,6,0,1
Sheen_a,0.325614693,0.278411484,3,1,0,88,1,2,1,0,99,2,1,0,0,6,0,1
Sheen_a,0.839819691,0.303617759,3,1,8,88,1,2,1,0,99,2,1,0,0,6,0,1
Sheen_b,0.827999907,0.301733142,1,1,0,88,1,2,1,0,99,2,99,0,0,6,2,1
Sheen_b,0.761571107,0.294731822,1,1,8,88,1,2,1,0,99,2,99,0,0,6,2,1
Sheen_b,0.885438946,0.299783485,3,1,0,88,1,2,1,0,99,2,99,0,0,6,2,1
Sheen_b,1.129269152,0.313450086,3,1,8,88,1,2,1,0,99,2,99,0,0,6,2,1
Sheen_etal,0.707119717,0.40397971,2,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1
Sheen_etal,-0.37362337,0.336330796,2,1,0,88,1,2,1,0,99,1,99,99,99,6,1,1
Sheen_etal,0.926753835,0.40838857,2,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1
Sheen_etal,-0.153989252,0.341613849,2,1,0,88,1,2,1,0,99,1,99,99,99,6,1,1
Sheen_etal,0.602839064,0.351839345,2,1,0,88,0,2,1,0,99,1,99,99,99,6,1,1
Sheen_etal,0.791050849,0.370709587,2,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1
Sheen_etal,-1.141634686,0.546081497,2,1,0,88,0,2,1,0,99,1,99,99,99,6,1,1
Sheen_etal,-0.953422902,0.558426069,2,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1
Sheen_etal,0.847254178,0.40041392,3,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1
Sheen_etal,0.087731603,0.341826058,3,1,0,88,1,2,1,0,99,1,99,99,99,6,1,1
Sheen_etal,0.075407614,0.477649498,3,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1
Sheen_etal,-0.684114961,0.429724085,3,1,0,88,1,2,1,0,99,1,99,99,99,6,1,1
Sheen_etal,0.455826822,0.372720693,3,1,0,88,0,2,1,0,99,1,99,99,99,6,1,1
Sheen_etal,0.387076763,0.372345792,3,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1
Sheen_etal,-0.639171526,0.500231411,3,1,0,88,0,2,1,0,99,1,99,99,99,6,1,1
Sheen_etal,-0.707921585,0.499952136,3,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1
Shint_Ellis,1.232360511,0.447873019,2,1,3,88,1,2,1,0,99,2,99,0,99,5,1,1
Shint_Ellis,0.601111073,0.373175538,2,1,0,88,1,2,1,0,99,2,99,0,99,5,1,1
Shint_Ellis,0.051981817,0.375149453,2,1,3,88,1,2,1,0,99,2,99,0,99,5,1,1
Shint_Ellis,0.250958077,0.366410135,2,1,0,88,1,2,1,0,99,2,99,0,99,5,1,1
Sob_Taybi,0.248388483,0.374523683,2,2,1,88,0,3,1,0,99,0,99,99,0,5,99,1
Sob_Taybi,0.419239053,0.383227777,2,2,1,88,0,3,1,0,99,1,99,99,0,5,99,1
Stefan_Revesz,-0.48773477,0.273791103,1,2,0,88,1,1,1,0,99,2,99,0,99,7,2,0
Stefan_Revesz,0.127126814,0.290651473,1,2,8,88,1,1,1,0,99,2,99,0,99,7,2,0
Stefan_Revesz,2.04388348,0.348081763,1,2,0,88,1,1,1,0,99,2,99,0,99,7,2,0
Stefan_Revesz,1.802630447,0.327929449,1,2,8,88,1,1,1,0,99,2,99,0,99,7,2,0
Stefan_Revesz,-0.125981087,0.267451935,2,2,0,88,1,1,1,0,99,2,99,0,99,7,2,0
Stefan_Revesz,0.508273779,0.290866815,2,2,8,88,1,1,1,0,99,2,99,0,99,7,2,0
Stefan_Revesz,1.97319605,0.358189587,2,2,0,88,1,1,1,0,99,2,99,0,99,7,2,0
Stefan_Revesz,1.858955626,0.347795068,2,2,8,88,1,1,1,0,99,2,99,0,99,7,2,0
Sun,0.736287357,0.488020784,3,2,8,0,10,2,1,0,99,2,2,0,1,5,1,0
Sun,0.094911369,0.42976172,3,2,3,1,0,2,1,0,99,0,2,0,1,5,1,0
Tanveer.etal,1.775050018,0.570205753,1,2,8,88,10,1,1,0,99,1,99,99,99,5,1,1
Tanveer.etal,1.732400345,0.563917775,1,2,3,88,10,1,1,0,99,1,99,99,99,5,1,1
Tanveer.etal,1.830776422,0.562103329,2,2,8,88,10,1,1,0,99,1,99,99,99,5,1,1
Tanveer.etal,1.375240216,0.517815599,2,2,3,88,10,1,1,0,99,1,99,99,99,5,1,1
Trscott_Hsu,-0.082745787,0.34120785,2,2,1,88,0,2,1,0,99,0,1,99,0,5,1,1
VanBe_Jng_Ken,-0.89110234,0.375838358,2,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_Ken,0.249398873,0.357040319,2,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_Ken,-1.316118317,0.426643254,2,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_Ken,-0.175617104,0.410180185,2,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_Ken,-1.045714711,0.365706491,2,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_Ken,-0.285027144,0.351412773,2,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_Ken,-0.767449207,0.376172696,2,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_Ken,-0.00676164,0.362292143,2,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_KenA,0.524209956,0.24549196,2,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_KenA,0.176923208,0.248366297,2,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_KenA,0.659125213,0.252984868,2,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_KenA,0.311838465,0.255775015,2,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_KenA,0.815803825,0.253695676,3,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_KenA,0.144190117,0.245975087,3,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_KenA,1.121380116,0.264672845,3,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_KenA,0.449766407,0.257281873,3,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_KenB,0.675623503,0.250542043,2,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_KenB,-0.058393804,0.251594461,2,2,2,1,0,1,99,0,0,0,1,0,0,2,1,1
VanBe_Jng_KenB,0.782262384,0.253648818,2,2,0,88,0,1,99,0,0,0,1,0,0,2,1,1
